Date,Store,Name,Store_type,Store_Type_ind,Store_status,Addr1,Addr2,City,Region,State,Zipcode
20131202,2106,"Hillstreet News and Tobacco","Liquor  Store",F,A,"2217 College",,"Cedar Falls",,IA,506130000
20131202,2112,"Mike's Liquors","Liquor  Store",F,I,"407 Sharp St.",,Glenwood,,IA,515340000
20131202,2113,"Jamboree Foods","Liquor  Store",F,A,"1119 Market St. Box 71",,Gowrie,,IA,505430000
20131202,2119,"Manly Liquor Store","Liquor  Store",F,I,"133 East Main",,Manly,,IA,504560000
20131202,2130,"Sycamore Convenience","Liquor  Store",F,A,"617 Sycamore",,Waterloo,,IA,507030000
20131202,2132,"Spirits and Such","Liquor  Store",F,I,"100 E Elm",,"West Union",,IA,521750000
20131202,2141,"Brewski's Beverage","Liquor  Store",F,I,"726 Creek Top",,"Council Bluffs",,IA,515010000
20131202,2152,"Dugans Supermarket","Liquor  Store",F,A,"202 4th North",,Rockwell,,IA,504690000
20131202,2154,"Coralville Liquor Store","Liquor  Store",F,I,"411 2nd St. Hwy 6 W.",,Coralville,,IA,522410000
20131202,2155,"Calliope Liquor Sales","Liquor  Store",F,I,"2021 Avenue E",,Hawarden,,IA,510230000
20131202,2161,"Huber's Store Inc.","Liquor  Store",F,A,"First & Main",,"Ft. Atkinson",,IA,521440000
20131202,2164,"Sauser's Hardware and Groce","Liquor  Store",F,I,"301 Adams St/po Box 433",,Ryan,,IA,523300000
20131202,2165,"Lange's Liquor Store","Liquor  Store",F,I,"618 Lombard Street",,Clarence,,IA,522160000
20131202,2170,"Marshall's Liquor I","Liquor  Store",F,I,"810 W 7th St",,"Sioux City",,IA,511030000
20131202,2177,"Cashwise Foods","Liquor  Store",F,I,"2400 Fourth Street Sw",,"Mason City",,IA,504010000
20131202,2178,"Double ""d"" Liquor Store","Liquor  Store",F,A,"618 Rossville Road",,Waukon,,IA,521720000
20131202,2179,"Twin City Liquor","Liquor  Store",F,I,"610 W. So. Omaha Bridge Dr.",,"Council Bluffs",,IA,515010000
20131202,2183,"Liquor and Food Center","Liquor  Store",F,I,"501 Lynn Street",,Tipton,,IA,527720000
20131202,2188,"Kind's Jack and Jill Food C","Liquor  Store",F,I,"110 S Main",,Sigourney,,IA,525910000
20131202,2190,"Central City Liquor Inc.","Liquor  Store",F,A,"1460 2nd Ave",,"Des Moines",,IA,503140000
20131202,2191,"Keokuk Spirits","Liquor  Store",F,A,"1013 Main",,Keokuk,,IA,526320000
20131202,2196,"Flynn's Supermarket","Liquor  Store",F,I,"116 Main",,Pocahontas,,IA,505740000
20131202,2198,"Barb's Service","Liquor  Store",F,I,"Rr  Hwy 18",,Everly,,IA,513380000
20131202,2199,"Beneficial Liquor And Bev","Liquor  Store",F,I,"Box 66/107 S Main",,"Saint Donatus",,IA,520710000
20131202,2200,"Sac Liquor Store","Liquor  Store",F,A,"619 E Main St",,"Sac City",,IA,505830000
20131202,2201,"Smith's Liquors-c And D L","Liquor  Store",F,I,"835 6th St",,Nevada,,IA,502010000
20131202,2205,"Ding's Honk And Holler","Liquor  Store",F,A,"900 E. Washington",,Clarinda,,IA,516320000
20131202,2222,"Kennedy's S.v.","Liquor  Store",F,I,"207 East Charles",,Oelwein,,IA,999999999
20131202,2226,"Dj's Liquor Store","Liquor  Store",F,I,"615 2nd Avenue",,Sheldon,,IA,512010000
20131202,2227,"Ivy's Investment Corp","Liquor  Store",F,I,"301 S. Floyd Blvd.",,"Sioux City",,IA,511070000
20131202,2228,"Rodgers Spirits and More","Liquor  Store",F,A,"53 Green St",,Winterset,,IA,502730000
20131202,2231,"Hi Way Liquor","Liquor  Store",F,I,"416 5th Ave S.w.",,"Le Mars",,IA,510310000
20131202,2233,"Forbes Liquor Locker/remi","Liquor  Store",F,A,"2508 Enterprise Ave",,"Spirit Lake",,IA,513600000
20131202,2234,"Tj's Liquors","Liquor  Store",F,I,"602 8th St",,Wellsburg,,IA,506800000
20131202,2238,"Adventureland Inn/boutiqu","Liquor  Store",F,A,"3200 Adventureland Dr",,Altoona,,IA,500090000
20131202,2241,"Avoca Liquor","Liquor  Store",F,I,"158 S Elm St",,Avoca,,IA,515210000
20131202,2245,"Discount Liquors","Liquor  Store",F,I,"915 Short St #10",,Decorah,,IA,521010000
20131202,2248,"Ingersoll Liquor and Bevera","Liquor  Store",F,A,"3500 Ingersoll Ave",,"Des Moines",,IA,503120000
20131202,2249,"Family Beverage Center","Liquor  Store",F,I,"3400 Central Ave",,Dubuque,,IA,520010000
20131202,2250,"Payless Foods","Liquor  Store",F,I,"733 16th Ave Se",,Dyersville,,IA,520400000
20131202,2260,"Spirits And Ale Inc.","Liquor  Store",F,I,"509 First Ave",,Perry,,IA,502200000
20131202,2269,"Spirits To Go/marshalltow","Liquor  Store",F,I,"114 N Center",,Marshalltown,,IA,501580000
20131202,2275,"Wilkie Liquors","Liquor  Store",F,I,"724 1st St. East",,"Mount Vernon",,IA,523140000
20131202,2281,"Lena's Liquor","Liquor  Store",F,I,"1544 Superior St",,"Webster City",,IA,505950000
